,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed
Resistencia,-27.4606,-58.9839,81.03,86.49,25,0,7.54
Yellowknife,62.456,-114.3525,34.32,38.19,75,75,11.1
Xichang,27.8964,102.2634,64.9,64.9,93,90,2.01
Vilyuysk,63.7553,121.6247,22.44,22.44,90,51,4.85
Tongzi,28.7829,105.0877,64.27,64.27,88,100,2.17
Hong Kong,22.2855,114.1577,83.48,83.48,81,1,6.69
Pangnirtung,66.1451,-65.7125,42.8,42.8,45,100,5.91
Mareeba,-17.0,145.4333,70.39,70.39,88,85,4.54
Corat,40.5725,49.7064,71.69,71.91,66,0,15.19
Kahului,20.8947,-156.47,75.09,78.01,87,75,9.1
Djambala,-2.5447,14.7533,71.58,71.58,83,92,3.96
Norman Wells,65.282,-126.8329,32.04,36.05,100,75,10.63
Mugumu,-1.85,34.7,67.6,67.6,70,94,7.05
Oranjestad,12.524,-70.027,87.75,87.75,70,75,15.5
Carnarvon,-24.8667,113.6333,66.83,66.83,66,0,13.42
Nishihara,26.1842,127.7558,81.66,81.66,78,0,4.16
Viedma,-40.8135,-62.9967,59.65,59.65,68,100,18.81
Muna,20.4833,-89.7167,91.94,91.94,40,29,3.4
Anadyr,64.75,177.4833,28.0,32.09,74,100,1.92
Half Moon Bay,37.4636,-122.4286,58.08,64.8,91,100,6.89
Chissamba,-12.1667,17.3333,74.84,74.84,40,89,9.19
East London,-33.0153,27.9116,65.34,65.34,68,20,8.86
Vila Franca do Campo,37.7167,-25.4333,75.61,75.61,81,32,7.87
Lompoc,34.6391,-120.4579,57.85,74.57,100,100,7.63
Tura,25.5198,90.2201,72.75,72.75,88,94,2.04
Springbok,-29.6643,17.8865,55.89,55.89,40,0,4.16
Verkhnyaya Inta,65.9811,60.3094,38.46,38.46,86,99,7.85
Tyumentsevo,53.3224,81.498,36.37,36.37,63,83,3.49
Nikolskoye,59.7035,30.7861,46.24,46.24,96,89,2.28
Palauig,15.435,119.9045,80.33,80.33,80,94,5.12
Shenjiamen,29.9576,122.298,68.54,68.54,74,100,20.58
Naze,28.3667,129.4833,72.52,75.07,84,2,5.39
Srednekolymsk,67.45,153.6833,18.01,18.01,88,17,7.58
Tshikapa,-6.4167,20.8,74.59,74.59,77,69,1.45
Balung,-7.7333,113.9167,75.85,75.85,87,42,5.7
Haapiti,-17.5667,-149.8667,72.72,76.87,74,57,25.39
Verkhoyansk,67.5447,133.385,8.62,8.62,98,54,1.63
Vestmannaeyjar,63.4427,-20.2734,49.19,49.19,81,75,21.77
Amuntai,-2.4177,115.2494,73.87,73.87,99,100,0.69
Hualmay,-11.0964,-77.6139,65.82,65.82,70,30,12.91
Vaini,-21.2,-175.2,73.56,76.24,94,20,9.82
Ukiah,39.1502,-123.2078,61.29,80.55,77,0,2.42
Kyshtovka,56.555,76.6271,40.08,40.08,95,100,7.81
Malaya Serdoba,52.4661,44.9512,49.5,49.5,90,100,18.59
Gizo Government Station,-8.103,156.8419,81.86,81.86,77,96,7.83
Longyearbyen,78.2186,15.6401,35.44,35.44,75,40,6.02
Richards Bay,-28.783,32.0377,69.98,69.98,64,99,4.52
Port Alfred,-33.5906,26.891,65.17,65.17,74,14,9.15
Mataura,-46.1927,168.8643,34.14,34.14,98,100,5.19
Bluff,-46.6,168.3333,39.97,39.97,77,89,26.8
Ghanzi,-21.5667,21.7833,81.39,81.39,11,0,4.47
Sioux Lookout,50.1001,-91.917,57.27,60.04,94,100,5.68
Los Llanos de Aridane,28.6585,-17.9182,76.12,76.12,56,85,3.49
Alofi,-19.0595,-169.9187,73.29,76.82,100,16,15.88
Port Hedland,-20.3167,118.5667,69.85,74.03,88,6,10.29
Allada,6.6655,2.1514,76.77,76.77,84,85,6.2
Jhānsi,25.4333,78.5833,79.03,79.03,83,57,6.13
Alakurtti,66.9672,30.3491,38.89,38.89,94,100,1.21
Mount Gambier,-37.8333,140.7667,48.13,48.13,91,100,10.83
Fortuna,40.5982,-124.1573,56.62,67.15,68,85,5.41
San Francisco del Mar Viejo,16.2333,-94.65,87.1,87.1,54,26,12.59
Ilave,-16.0833,-69.6667,58.66,58.66,26,54,13.4
Zhangjiakou,40.81,114.8794,35.91,35.91,31,1,3.6
Ponta do Sol,32.6667,-17.1,75.83,75.83,73,23,4.7
Minot,48.2325,-101.2963,60.94,68.86,77,0,6.67
Kaitangata,-46.2817,169.8464,35.51,35.51,94,95,10.54
Hīt,33.6416,42.8251,88.59,88.59,15,0,8.97
Uchaly,54.2996,59.4521,38.75,38.75,49,19,5.35
Gunjur,13.2019,-16.7339,89.67,89.67,74,40,11.03
Kaeo,-35.1,173.7833,49.32,52.83,94,60,7.54
George Town,5.4112,100.3354,77.79,77.79,95,40,6.17
Albany,42.6001,-73.9662,56.41,57.72,53,97,5.77
Boddam,57.4667,-1.7833,54.82,54.82,81,98,6.62
Honningsvåg,70.9821,25.9704,44.35,44.35,81,12,13.13
Boissevain,49.2306,-100.0559,63.1,67.28,49,5,2.64
Ulaangom,49.9811,92.0667,29.16,29.16,53,0,0.76
Kuloy,61.0305,42.4925,49.21,49.21,88,77,8.99
Singkang,2.1006,102.7994,74.05,74.05,97,100,2.64
Nyurba,63.2842,118.3319,24.37,24.37,83,39,6.46
Kerman,30.2832,57.0788,75.06,75.06,17,0,6.96
Wanning,18.8003,110.3967,79.52,79.52,88,100,6.24
Port Lincoln,-34.7333,135.8667,57.02,57.02,94,35,10.67
Bichura,50.5881,107.6022,26.69,26.69,77,15,2.21
Yangi Marg`ilon,40.4272,71.7189,68.72,68.92,28,39,10.29
Hasaki,35.7333,140.8333,75.83,76.68,81,100,18.07
Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,47.82,93,100,13.49
Mahébourg,-20.4081,57.7,71.89,71.89,78,40,13.24
Saint Paul Harbor,57.79,-152.4072,53.11,53.11,82,100,29.17
Luwuk,-0.9516,122.7875,76.87,76.87,85,93,1.83
Esim,4.8699,-2.2405,77.38,77.38,87,74,7.09
Muroto-misakicho,33.2833,134.15,77.97,77.97,85,47,8.32
Jaru,-10.4389,-62.4664,96.78,96.78,36,62,3.85
Mbaïki,3.8678,17.9892,73.44,73.44,88,99,1.99
Chokurdakh,70.6333,147.9167,18.72,18.72,96,81,7.52
San Luis,-33.295,-66.3356,80.56,80.56,22,0,8.97
Ürümqi,43.801,87.6005,47.35,47.35,32,0,2.98
Chara,56.9064,118.2631,16.7,16.7,78,74,3.11
Champagnole,46.7445,5.9135,66.18,66.18,89,14,3.56
Saint Anthony,45.0205,-93.218,68.88,75.54,55,0,8.41
Egvekinot,66.3167,-179.1667,21.4,21.4,89,75,2.28
Votkinsk,57.0486,53.9872,54.77,54.77,53,100,6.06
Ust-Kuyga,70.0167,135.6,18.01,18.01,91,95,3.78
Bairiki Village,1.3292,172.9752,80.6,80.6,83,20,15.19
Usinsk,65.9939,57.5281,39.47,39.47,83,100,8.68
Murray Bridge,-35.1167,139.2667,58.12,58.12,95,100,12.08
Zaraza,9.3503,-65.3245,92.37,92.37,48,47,2.42
Dunedin,-45.8742,170.5036,37.87,37.87,89,100,14.72
Ayagoz,47.9714,80.4392,35.06,35.06,41,32,11.18
Puerto Ayora,-0.7393,-90.3518,68.56,69.98,89,80,11.25
Dwārka,22.2394,68.9678,81.97,81.97,70,35,10.22
Ushuaia,-54.8,-68.3,51.46,51.46,54,0,1.54
Ilulissat,69.2167,-51.1,35.62,35.62,44,20,4.61
Harper,4.375,-7.7169,77.99,77.99,85,59,6.76
Inhambane,-23.865,35.3833,78.78,78.78,83,20,5.86
Takoradze,4.8845,-1.7554,78.01,78.01,85,84,9.98
Port Elizabeth,-33.918,25.5701,63.1,63.1,71,0,5.99
Rome,43.2128,-75.4557,53.76,57.85,72,75,2.3
Gayny,60.3071,54.3241,47.5,47.5,70,100,6.02
Mossamedes,-15.1961,12.1522,70.43,70.43,83,0,7.65
Acapulco de Juárez,16.8634,-99.8901,84.02,84.02,65,75,4.38
Saint-Philippe,-21.3585,55.7679,72.99,72.99,80,50,11.7
Cascas,-7.4833,-78.8167,76.6,76.6,44,26,11.25
Buala,-8.145,159.5921,80.06,80.06,78,91,8.72
Santiago del Estero,-27.7951,-64.2615,91.54,91.54,20,0,16.42
Bilma,18.6853,12.9164,94.08,94.08,13,2,5.44
Safford,32.834,-109.7076,59.92,75.43,94,100,7.85
Guerrero Negro,27.9769,-114.0611,74.62,74.62,66,78,8.39
Bengkulu,-3.8004,102.2655,74.88,74.88,90,100,3.87
Tasiilaq,65.6145,-37.6368,42.96,42.96,67,89,7.2
Shumyachi,53.8583,32.4242,42.3,42.3,97,100,9.22
Rosetta,31.4044,30.4164,76.6,76.6,66,0,10.83
Kruisfontein,-34.0033,24.7314,61.88,61.88,77,33,3.98
Lavrentiya,65.5833,-171.0,34.48,34.48,73,59,5.06
Nabire,-3.3667,135.4833,75.09,75.09,93,100,3.4
Okrika,4.7416,7.0849,79.18,79.18,79,97,8.52
Ancud,-41.8697,-73.8203,51.22,52.63,79,75,10.71
Fallon,39.4735,-118.7774,60.03,72.23,32,0,1.14
Biloela,-24.4167,150.5,58.12,58.12,79,62,5.3
Poltavka,54.3663,71.7632,43.57,43.57,52,99,8.32
Sarab,38.6066,44.9883,69.49,69.49,23,0,4.05
Nizwá,22.9333,57.5333,80.24,80.24,49,1,6.38
Kunming,25.0389,102.7183,64.33,64.33,82,75,3.2
Humaitá,-7.5061,-63.0208,95.27,95.27,38,99,3.96
Ngora,1.4314,33.7772,68.5,68.5,70,80,5.26
Dzaoudzi,-12.7887,45.2699,78.69,78.69,69,0,8.41
Lázaro Cárdenas,17.9583,-102.2,83.35,83.35,74,27,4.0
Muros,42.7762,-9.0603,64.83,64.83,81,46,2.77
Amboasary,-25.0333,46.3833,71.96,71.96,79,0,5.26
Sitka,57.0531,-135.33,51.69,55.69,71,75,7.34
Zaranj,30.9667,61.8833,78.76,80.6,16,0,10.51
Bandar,2.05,99.75,73.09,73.09,97,99,2.48
San Andrés,12.5847,-81.7006,87.82,87.82,70,20,5.37
Tateyama,34.9833,139.8667,78.1,78.1,86,98,25.79
Avilés,43.5547,-5.9248,65.01,65.01,82,75,1.43
Cidreira,-30.1811,-50.2056,64.17,64.17,60,8,10.2
Madang,-5.2246,145.7966,76.59,76.59,92,80,3.42
Busselton,-33.65,115.3333,58.17,58.17,86,75,17.11
Punta Arenas,-53.15,-70.9167,44.42,51.96,81,40,18.34
New Norfolk,-42.7826,147.0587,38.89,38.89,67,31,1.54
Hobart,-42.8794,147.3294,43.03,43.03,87,75,1.59
Qasigiannguit,68.8193,-51.1922,35.85,35.85,69,24,3.62
Faya,18.3851,42.4509,72.12,72.12,37,52,4.94
Kenai,60.5544,-151.2583,47.12,47.12,86,100,16.71
Bay Roberts,47.5999,-53.2648,57.42,57.42,53,1,15.08
Mâncio Lima,-7.6142,-72.8958,89.67,97.92,62,40,2.98
Lorengau,-2.0226,147.2712,81.01,81.01,82,94,9.04
Owando,-0.4819,15.8999,75.65,75.65,84,92,3.44
Yukhnov,54.7444,35.2297,41.63,41.63,96,99,9.4
Ketchikan,55.3422,-131.6461,48.67,57.42,93,0,2.21
Hokitika,-42.7167,170.9667,49.1,49.1,72,100,20.67
Novyy Urgal,51.0736,132.5642,26.67,26.67,56,22,5.97
Leningradskiy,69.3833,178.4167,24.73,24.73,93,100,7.87
Villazón,-22.0866,-65.5942,67.28,67.28,3,0,6.29
Bredasdorp,-34.5322,20.0403,52.02,52.02,74,0,3.78
Nanortalik,60.1432,-45.2371,39.34,39.34,75,100,14.0
Isangel,-19.55,169.2667,71.35,71.35,72,10,10.31
Vikārābād,17.3333,77.9,72.21,72.21,82,100,6.2
Mount Isa,-20.7333,139.5,69.57,71.2,94,100,13.58
Bowen,-20.0167,148.2333,71.76,71.76,76,86,13.49
Aginskoye,51.1,114.53,23.74,23.74,79,50,4.65
Camaná,-16.6228,-72.7111,63.66,63.66,70,58,8.88
Krasnovishersk,60.4078,57.082,43.63,43.63,80,21,4.76
Mungwi,-10.1732,31.3694,73.54,73.54,18,39,4.45
Sisimiut,66.9395,-53.6735,34.36,34.36,70,66,5.5
‘Ewa Beach,21.3156,-158.0072,73.76,78.31,83,0,11.18
Chudniv,50.052,28.1175,48.07,48.07,84,99,15.14
Coahuayana Viejo,18.7333,-103.6833,82.89,82.89,75,87,2.91
Kavieng,-2.5744,150.7967,82.2,82.2,79,51,16.13
Neuquén,-38.9516,-68.0591,66.09,69.69,34,0,9.4
Katsuura,35.1333,140.3,76.91,76.91,86,89,23.33
Cabo San Lucas,22.8909,-109.9124,86.38,86.38,61,0,1.59
Chimoio,-19.1164,33.4833,84.06,84.06,42,0,8.1
Bereket,39.2446,55.5154,67.48,67.48,17,0,15.93
Onega,63.9061,38.1404,47.73,47.73,93,93,5.7
Spornoye,50.8448,37.2913,48.33,48.33,77,100,11.72
Semnan,35.5729,53.3971,73.29,73.29,26,0,2.06
Mitsamiouli,-11.3847,43.2844,76.14,76.14,78,26,5.59
Tamiahua,21.2667,-97.45,79.93,79.93,74,98,10.18
Langsa,4.4683,97.9683,73.8,73.8,99,100,3.96
Kananga,-5.8958,22.4178,78.8,78.8,53,60,2.64
Matara,5.9485,80.5353,78.3,78.3,89,100,12.1
Methóni,36.8197,21.7049,75.06,75.06,73,14,8.88
Kropotkin,45.4375,40.5756,61.43,61.43,63,78,4.29
Yulara,-25.2406,130.9889,60.96,60.96,49,0,8.12
Mar del Plata,-38.0023,-57.5575,59.95,59.95,63,0,19.1
Quzhou,28.9594,118.8686,65.86,65.86,77,99,11.68
Torbay,47.6666,-52.7314,56.59,56.59,53,0,16.22
Yacuiba,-22.038,-63.6797,88.57,90.84,37,0,10.02
Yei,4.095,30.6779,66.11,66.11,98,91,3.4
Tokmak,47.2514,35.7058,53.19,53.19,63,5,8.28
Lodwar,3.1191,35.5973,87.87,87.87,32,13,9.24
Amapá,1.0,-52.0,97.48,97.48,26,35,5.82
Luchegorsk,46.4764,134.2569,30.72,30.72,64,2,7.18
Arzgir,45.3728,44.2206,66.6,66.6,73,100,5.03
Ashcroft,50.7165,-121.2859,71.82,71.82,37,74,2.93
Shimoda,34.6667,138.95,75.11,76.64,89,95,19.06
Juruti,-2.1522,-56.0922,96.75,96.75,34,35,3.74
Waingapu,-9.6567,120.2641,79.83,79.83,82,79,3.76
Belmonte,-15.8631,-38.8828,79.77,79.77,63,54,12.39
Itarema,-2.9248,-39.9167,85.91,85.91,59,99,18.21
Sambava,-14.2667,50.1667,70.32,70.32,86,12,10.16
Gamba,-2.65,10.0,76.26,76.26,81,66,7.0
Tuatapere,-46.1333,167.6833,35.13,35.13,91,95,14.25
Gijang,35.2442,129.2139,62.33,63.55,76,100,16.08
Marsá Maţrūḩ,31.3525,27.2453,77.2,77.2,61,20,11.45
Wanaka,-44.7,169.15,38.1,38.1,90,98,6.33
Ushtobe,45.2514,77.9838,49.91,49.91,30,1,11.43
Khovd,48.0056,91.6419,29.5,29.5,29,68,1.48
Te Anau,-45.4167,167.7167,31.82,31.82,84,81,2.46
Arrondissement de Saint-Denis,48.9167,2.3333,66.22,66.22,66,0,4.34
Cape Town,-33.9258,18.4232,61.9,61.9,51,0,9.17
Salinópolis,-0.6136,-47.3561,84.99,84.99,64,62,11.74
Maragogi,-9.0122,-35.2225,79.72,79.72,63,13,10.09
Perivoli,39.4206,20.0147,72.95,72.95,54,13,7.83
Tiksi,71.6872,128.8694,22.51,22.51,85,100,11.9
Vanavara,60.34,102.2797,27.61,27.61,77,86,5.93
Hermanus,-34.4187,19.2345,56.59,56.59,67,0,5.3
Olinda,-8.0089,-34.8553,82.13,82.13,61,20,12.41
Bonthe,7.5264,-12.505,79.81,79.81,80,98,9.24
Moberly,39.4184,-92.4382,69.19,74.57,41,0,8.28
Lata,40.1629,-8.3327,80.92,80.92,43,3,3.6
Hithadhoo,-0.6,73.0833,82.67,82.67,72,87,17.07
Mayo,38.8876,-76.5119,50.43,50.72,93,100,17.13
Lagoa,39.05,-27.9833,70.57,70.57,78,70,16.6
Kindu,-2.95,25.95,73.54,73.54,83,63,1.14
Myitkyina,25.3833,97.4,74.71,74.71,93,72,1.36
Manzhouli,49.6,117.4333,28.9,28.9,40,100,6.29
Fengzhen,40.4394,113.1536,33.62,33.62,33,10,2.66
College,64.8569,-147.8028,31.84,38.62,89,40,3.87
Baikunthpur,23.25,82.55,72.57,72.57,91,100,1.61
Narasannapeta,18.4167,84.05,79.52,79.52,90,100,6.33
Saint George,37.1041,-113.5841,69.3,76.77,54,0,1.59
Nogliki,51.8333,143.1667,33.04,33.04,86,98,14.0
Constitución,-35.3333,-72.4167,52.99,52.99,82,100,2.57
Wukari,7.85,9.7833,76.98,76.98,85,64,2.91
Pontal do Paraná,-25.6533,-48.5128,68.99,68.99,89,100,3.02
Antofagasta,-23.65,-70.4,61.88,61.97,65,14,9.42
Cam Ranh,11.9214,109.1591,75.16,77.88,88,40,7.52
Barra de Tecoanapa,16.5167,-98.75,84.56,84.56,66,71,7.54
Novodugino,55.6305,34.2842,39.4,39.4,97,100,9.04
Kavaratti,10.5669,72.642,81.61,81.61,77,100,16.2
Pisco,-13.7,-76.2167,60.85,67.35,82,100,12.41
Bolshoy Lug,52.0779,104.0919,26.78,26.78,86,22,0.78
Kamennogorsk,60.9545,29.1339,46.29,46.29,98,99,4.23
Qaqortoq,60.7167,-46.0333,39.16,39.16,72,99,9.86
Husavik,66.0449,-17.3389,42.4,42.4,98,100,12.19
NEDJO,9.5046,35.5019,57.43,57.43,96,64,0.22
Paita,-5.0892,-81.1144,70.93,70.93,67,20,16.4
Faanui,-16.4833,-151.75,77.67,77.67,77,21,23.06
Butembo,0.15,29.2833,58.53,58.53,98,99,0.38
Sennar,13.5691,33.5672,86.14,86.14,48,72,4.79
Ahipara,-35.1667,173.1667,54.37,54.37,74,99,10.36
Kerema,-7.9631,145.7785,79.27,79.27,90,98,4.23
Alamosa,37.4695,-105.87,48.18,59.47,81,0,0.72
Arraial do Cabo,-22.9661,-42.0278,73.26,73.26,73,75,6.87
Boyolangu,-8.1181,111.8935,75.24,75.24,86,71,3.94
Żurrieq,35.8311,14.4742,72.91,72.91,68,20,12.53
Bambous Virieux,-20.3428,57.7575,71.85,71.85,78,40,13.42
Salinas,36.6777,-121.6555,59.41,75.58,86,100,4.07
Taunggyi,20.7833,97.0333,61.79,61.79,96,9,2.01
Amudat,1.95,34.95,76.17,76.17,45,84,10.63
Clearlake,38.9582,-122.6264,72.18,80.92,57,27,1.05
Umm Kaddadah,13.6017,26.6876,89.08,89.08,31,98,10.71
Cabras,39.93,8.5314,77.86,77.86,71,2,1.83
Vanimo,-2.6741,141.3028,77.54,77.54,90,85,5.48
Kloulklubed,7.0419,134.2556,77.5,83.43,76,78,11.97
Codrington,-38.2667,141.9667,52.48,52.48,77,100,16.22
Geraldton,-28.7667,114.6,54.01,62.51,87,9,7.45
Shīeli,44.1667,66.75,54.43,54.43,22,0,12.33
Esperance,-33.8667,121.9,56.17,56.17,89,6,14.29
Saint-Pierre,-21.3393,55.4781,73.08,73.08,73,100,8.3
Roebourne,-20.7833,117.1333,72.32,72.32,59,5,6.67
Marawi,7.9986,124.2928,68.88,68.88,95,92,2.21
Itoman,26.1247,127.6694,82.4,82.4,78,2,4.99
La Ronge,55.1001,-105.2842,50.25,58.39,66,40,3.58
Nuuk,64.1835,-51.7216,36.21,37.11,80,100,9.13
Saldanha,-33.0117,17.9442,62.65,62.65,65,9,16.24
Castro,-24.7911,-50.0119,71.64,71.64,56,74,5.93
Beyneu,45.3167,55.2,55.35,55.35,36,71,19.01
Homer,59.6425,-151.5483,51.31,51.31,69,75,9.62
Cabedelo,-6.9811,-34.8339,86.67,86.67,64,61,14.52
Tete,-16.1564,33.5867,98.69,98.69,16,4,3.78
Ntoum,0.3833,9.7833,75.42,75.42,90,87,4.03
Stornoway,58.2093,-6.3865,54.03,54.03,71,40,19.28
Atuona,-9.8,-139.0333,76.71,76.71,72,17,23.67
San Patricio,28.017,-97.5169,78.89,84.79,36,99,5.64
Severo-Kuril'sk,50.6789,156.125,53.17,53.17,92,100,27.54
Forsytheganj,52.6333,29.7333,44.96,44.96,95,100,9.04
Grindavik,63.8424,-22.4338,46.87,46.87,81,75,31.76
Mehrān,33.1222,46.1646,87.98,87.98,13,0,3.49
Malaryta,51.7905,24.074,52.45,52.45,76,94,12.68
Māndalgarh,25.2,75.1,78.94,78.94,48,48,1.9
Kayerkan,69.3497,87.7602,32.52,32.52,100,100,6.6
Kalemie,-5.9475,29.1947,76.39,76.39,60,11,3.24
Cayenne,4.9333,-52.3333,87.84,87.84,66,100,12.17
Upernavik,72.7868,-56.1549,25.68,25.68,79,100,3.96
Celestún,20.8667,-90.4,82.87,82.87,60,21,9.08
Butaritari,3.0707,172.7902,81.34,81.34,74,83,12.93
Lewiston,44.1003,-70.2148,59.22,61.39,53,0,4.34
San Carlos,9.6612,-68.5827,89.29,89.29,57,28,3.53
Westport,41.1415,-73.3579,51.8,53.01,88,100,18.25
Laas,46.6166,10.7002,55.36,55.53,56,79,3.65
Luorong,24.4058,109.6086,78.93,78.93,66,12,2.84
Pevek,69.7008,170.3133,25.66,25.66,81,79,3.49
Kaura Namoda,12.5898,6.5779,84.69,84.69,54,85,5.99
Batagay,67.6333,134.6333,13.95,13.95,97,68,1.28
Partizanskoye,55.5006,94.39,28.9,28.9,89,10,3.38
Phuthaditjhaba,-28.5242,28.8158,58.35,58.35,80,79,7.52
Filingué,14.3521,3.3168,97.95,97.95,25,16,7.38
Mbanza-Ngungu,-5.25,14.8667,72.81,72.81,75,85,2.91
Aklavik,68.2191,-135.0107,27.39,27.39,92,7,13.49
Padang,-0.9492,100.3543,76.33,76.33,86,100,2.48
Iqaluit,63.7506,-68.5145,36.7,36.7,93,100,4.27
Yerbogachën,61.2767,108.0108,26.83,26.83,75,91,7.74
Bethel,41.3712,-73.414,50.7,50.7,86,100,13.2
Khatanga,71.9667,102.5,23.41,23.41,97,100,7.09
Yarmouth,41.7057,-70.2286,57.85,57.85,92,100,24.36
Ankazoabo,-22.2833,44.5167,76.51,76.51,40,0,7.9
Pacific Grove,36.6177,-121.9166,58.35,65.5,91,100,8.1
Cherskiy,68.75,161.3,20.17,20.17,84,35,3.87
Bardsīr,29.9227,56.5743,67.35,67.35,22,61,5.75
Pahrump,36.2083,-115.9839,75.72,83.53,33,0,3.74
The Valley,18.217,-63.0578,87.62,87.62,76,12,14.81
Baykit,61.67,96.37,27.1,27.1,88,27,3.67
Ostrovnoy,68.0531,39.5131,43.39,43.39,96,100,14.0
Platonovka,52.7106,41.952,55.13,55.13,77,100,13.78
Cody,44.5263,-109.0565,55.4,62.15,55,0,2.06
Okakarara,-20.5833,17.4333,80.24,80.24,9,0,8.21
Kharabali,47.4196,47.2568,59.43,59.43,49,57,9.8
Dingle,10.9995,122.6711,76.24,76.24,88,95,4.81
Avarua,-21.2078,-159.775,73.45,73.96,88,75,20.38
Okaihau,-35.3167,173.7833,46.51,47.98,94,68,3.76
Rafrāf,37.1904,10.1837,73.72,73.72,71,0,6.64
